source_key,keyword,count,relative_path,path
30d_endpoint,TARGET_PATH_ONLY,631,30d2_final_target_only_endpoint_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d2_final_target_only_endpoint_rows.csv
30d_endpoint,mini1,5048,30d2_final_target_only_endpoint_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d2_final_target_only_endpoint_rows.csv
30d_endpoint,C2025AUG,3155,30d2_final_target_only_endpoint_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d2_final_target_only_endpoint_rows.csv
30d_endpoint,icloud.com,18,30d2_final_target_only_endpoint_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d2_final_target_only_endpoint_rows.csv
30d_endpoint,apple.com,1244,30d2_final_target_only_endpoint_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d2_final_target_only_endpoint_rows.csv
30d_endpoint,mini1,3040,30d3_external_cluster_support_endpoint_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d3_external_cluster_support_endpoint_rows.csv
30d_endpoint,C2025AUG,3040,30d3_external_cluster_support_endpoint_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d3_external_cluster_support_endpoint_rows.csv
30d_endpoint,icloud.com,146,30d3_external_cluster_support_endpoint_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d3_external_cluster_support_endpoint_rows.csv
30d_endpoint,apple.com,1070,30d3_external_cluster_support_endpoint_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d3_external_cluster_support_endpoint_rows.csv
30d_endpoint,PATH_TARGET_MISMATCH,245,30d4_path_target_mismatch_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d4_path_target_mismatch_rows.csv
30d_endpoint,mini1,932,30d4_path_target_mismatch_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d4_path_target_mismatch_rows.csv
30d_endpoint,icloud.com,60,30d4_path_target_mismatch_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d4_path_target_mismatch_rows.csv
30d_endpoint,apple.com,430,30d4_path_target_mismatch_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d4_path_target_mismatch_rows.csv
30d_endpoint,PATH_TARGET_MISMATCH,245,30d5_unknown_or_review_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d5_unknown_or_review_rows.csv
30d_endpoint,mini1,932,30d5_unknown_or_review_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d5_unknown_or_review_rows.csv
30d_endpoint,icloud.com,60,30d5_unknown_or_review_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d5_unknown_or_review_rows.csv
30d_endpoint,apple.com,430,30d5_unknown_or_review_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d5_unknown_or_review_rows.csv
30d_endpoint,TARGET_PATH_ONLY,1,30d6_final_focus_endpoint_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d6_final_focus_endpoint_summary.csv
